n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
262,"(213.4,213.425]",213.4,213.425,0.025,ppt,1.0777604138599989e-5,0
263,"(213.475,213.5]",213.475,213.5,0.025,ppt,5.388802069299995e-5,0
264,"(213.5,213.525]",213.5,213.525,0.025,ppt,4.3110416554399954e-5,0
265,"(213.575,213.6]",213.575,213.6,0.025,ppt,7.544322897019993e-5,0
266,"(213.675,213.7]",213.675,213.7,0.025,ppt,7.544322897019993e-5,0
267,"(213.775,213.8]",213.775,213.8,0.025,ppt,1.1855364552459988e-4,0
268,"(213.875,213.9]",213.875,213.9,0.025,ppt,5.388802069299995e-5,0
269,"(213.9,213.925]",213.9,213.925,0.025,ppt,2.1555208277199977e-5,0
270,"(213.975,214]",213.975,214,0.025,ppt,9.69984372473999e-5,0
271,"(214,214.025]",214,214.025,0.025,ppt,1.0777604138599989e-5,0
272,"(214.075,214.1]",214.075,214.1,0.025,ppt,1.077760413859999e-4,0
273,"(214.175,214.2]",214.175,214.2,0.025,ppt,1.1855364552459988e-4,0
274,"(214.275,214.3]",214.275,214.3,0.025,ppt,8.622083310879991e-5,0
275,"(214.375,214.4]",214.375,214.4,0.025,ppt,1.077760413859999e-4,0
276,"(214.475,214.5]",214.475,214.5,0.025,ppt,4.3110416554399954e-5,0
277,"(214.5,214.525]",214.5,214.525,0.025,ppt,2.1555208277199977e-5,0
278,"(214.575,214.6]",214.575,214.6,0.025,ppt,5.388802069299995e-5,0
279,"(214.675,214.7]",214.675,214.7,0.025,ppt,1.1855364552459988e-4,0
280,"(214.775,214.8]",214.775,214.8,0.025,ppt,5.388802069299995e-5,0
281,"(214.875,214.9]",214.875,214.9,0.025,ppt,8.622083310879991e-5,0
282,"(214.9,214.925]",214.9,214.925,0.025,ppt,1.0777604138599989e-5,0
283,"(214.975,215]",214.975,215,0.025,ppt,5.388802069299995e-5,0
284,"(215.075,215.1]",215.075,215.1,0.025,ppt,6.466562483159993e-5,0
285,"(215.175,215.2]",215.175,215.2,0.025,ppt,7.544322897019993e-5,0
286,"(215.275,215.3]",215.275,215.3,0.025,ppt,7.544322897019993e-5,0
287,"(215.375,215.4]",215.375,215.4,0.025,ppt,5.388802069299995e-5,0
288,"(215.4,215.425]",215.4,215.425,0.025,ppt,3.2332812415799966e-5,0
289,"(215.475,215.5]",215.475,215.5,0.025,ppt,4.3110416554399954e-5,0
290,"(215.5,215.525]",215.5,215.525,0.025,ppt,2.1555208277199977e-5,0
291,"(215.575,215.6]",215.575,215.6,0.025,ppt,9.69984372473999e-5,0
292,"(215.675,215.7]",215.675,215.7,0.025,ppt,9.69984372473999e-5,0
293,"(215.775,215.8]",215.775,215.8,0.025,ppt,9.69984372473999e-5,0
294,"(215.875,215.9]",215.875,215.9,0.025,ppt,5.388802069299995e-5,0
295,"(215.9,215.925]",215.9,215.925,0.025,ppt,2.1555208277199977e-5,0
296,"(215.975,216]",215.975,216,0.025,ppt,7.544322897019993e-5,0
297,"(216.075,216.1]",216.075,216.1,0.025,ppt,6.466562483159993e-5,0
298,"(216.175,216.2]",216.175,216.2,0.025,ppt,8.622083310879991e-5,0
299,"(216.275,216.3]",216.275,216.3,0.025,ppt,6.466562483159993e-5,0
300,"(216.375,216.4]",216.375,216.4,0.025,ppt,6.466562483159993e-5,0
301,"(216.475,216.5]",216.475,216.5,0.025,ppt,4.3110416554399954e-5,0
302,"(216.5,216.525]",216.5,216.525,0.025,ppt,3.2332812415799966e-5,0
303,"(216.575,216.6]",216.575,216.6,0.025,ppt,8.622083310879991e-5,0
304,"(216.675,216.7]",216.675,216.7,0.025,ppt,9.69984372473999e-5,0
305,"(216.775,216.8]",216.775,216.8,0.025,ppt,7.544322897019993e-5,0
306,"(216.875,216.9]",216.875,216.9,0.025,ppt,7.544322897019993e-5,0
307,"(216.975,217]",216.975,217,0.025,ppt,7.544322897019993e-5,0
308,"(217,217.025]",217,217.025,0.025,ppt,2.1555208277199977e-5,0
309,"(217.075,217.1]",217.075,217.1,0.025,ppt,1.2933124966319986e-4,0
310,"(217.175,217.2]",217.175,217.2,0.025,ppt,1.077760413859999e-4,0
311,"(217.275,217.3]",217.275,217.3,0.025,ppt,4.3110416554399954e-5,0
312,"(217.375,217.4]",217.375,217.4,0.025,ppt,6.466562483159993e-5,0
313,"(217.4,217.425]",217.4,217.425,0.025,ppt,1.0777604138599989e-5,0
314,"(217.475,217.5]",217.475,217.5,0.025,ppt,4.3110416554399954e-5,0
315,"(217.575,217.6]",217.575,217.6,0.025,ppt,6.466562483159993e-5,0
316,"(217.675,217.7]",217.675,217.7,0.025,ppt,1.077760413859999e-4,0
317,"(217.775,217.8]",217.775,217.8,0.025,ppt,1.1855364552459988e-4,0
318,"(217.875,217.9]",217.875,217.9,0.025,ppt,9.69984372473999e-5,0
319,"(217.9,217.925]",217.9,217.925,0.025,ppt,1.0777604138599989e-5,0
320,"(217.975,218]",217.975,218,0.025,ppt,6.466562483159993e-5,0
321,"(218,218.025]",218,218.025,0.025,ppt,1.0777604138599989e-5,0
322,"(218.075,218.1]",218.075,218.1,0.025,ppt,1.4010885380179986e-4,0
323,"(218.175,218.2]",218.175,218.2,0.025,ppt,7.544322897019993e-5,0
324,"(218.275,218.3]",218.275,218.3,0.025,ppt,9.69984372473999e-5,0
325,"(218.375,218.4]",218.375,218.4,0.025,ppt,8.622083310879991e-5,0
326,"(218.4,218.425]",218.4,218.425,0.025,ppt,4.3110416554399954e-5,0
327,"(218.475,218.5]",218.475,218.5,0.025,ppt,6.466562483159993e-5,0
328,"(218.575,218.6]",218.575,218.6,0.025,ppt,1.1855364552459988e-4,0
329,"(218.675,218.7]",218.675,218.7,0.025,ppt,1.1855364552459988e-4,0
330,"(218.775,218.8]",218.775,218.8,0.025,ppt,8.622083310879991e-5,0
331,"(218.875,218.9]",218.875,218.9,0.025,ppt,1.1855364552459988e-4,0
332,"(218.9,218.925]",218.9,218.925,0.025,ppt,4.3110416554399954e-5,0
333,"(218.975,219]",218.975,219,0.025,ppt,1.077760413859999e-4,0
334,"(219.075,219.1]",219.075,219.1,0.025,ppt,4.3110416554399954e-5,0
335,"(219.175,219.2]",219.175,219.2,0.025,ppt,8.622083310879991e-5,0
