n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja
271,"(2.325,2.35]",2.325,2.35,0.025,tmp,0.012297246322142588,0,0.005248693215498194
272,"(2.35,2.375]",2.35,2.375,0.025,tmp,0.012566686425607588,0,0.0045912593630435955
273,"(2.375,2.4]",2.375,2.4,0.025,tmp,0.013439672360834187,0,0.005194805194805195
274,"(2.4,2.425]",2.4,2.425,0.025,tmp,0.012351134342835588,0,0.0045589265506277956
275,"(2.425,2.45]",2.425,2.45,0.025,tmp,0.011650590073826588,0,0.005270248423775395
276,"(2.45,2.475]",2.45,2.475,0.025,tmp,0.011844586948321387,0,0.004979253112033195
277,"(2.475,2.5]",2.475,2.5,0.025,tmp,0.010971601013094788,0,0.005367246861022795
278,"(2.5,2.525]",2.5,2.525,0.025,tmp,0.01086382497170879,0,0.005270248423775395
279,"(2.525,2.55]",2.525,2.55,0.025,tmp,0.011478148407608989,0,0.0052163604030823945
280,"(2.55,2.575]",2.55,2.575,0.025,tmp,0.011532036428301988,0,0.005248693215498194
281,"(2.575,2.6]",2.575,2.6,0.025,tmp,0.011661367677965188,0,0.005507355714824595
282,"(2.6,2.625]",2.6,2.625,0.025,tmp,0.011316484345529988,0,0.005669019776903594
283,"(2.625,2.65]",2.625,2.65,0.025,tmp,0.011715255698658188,0,0.005378024465161395
284,"(2.65,2.675]",2.65,2.675,0.025,tmp,0.01013094789028399,0,0.005097806757557795
285,"(2.675,2.7]",2.675,2.7,0.025,tmp,0.009462736433690791,0,0.005981570296922994
286,"(2.7,2.725]",2.7,2.725,0.025,tmp,0.01080993695101579,0,0.0058845718596755945
287,"(2.725,2.75]",2.725,2.75,0.025,tmp,0.01129492913725279,0,0.005722907797596594
288,"(2.75,2.775]",2.75,2.775,0.025,tmp,0.011241041116559788,0,0.005992347901061594
289,"(2.775,2.8]",2.775,2.8,0.025,tmp,0.011769143719351189,0,0.0054642452982701945
290,"(2.8,2.825]",2.8,2.825,0.025,tmp,0.011488926011747589,0,0.005313358840329794
291,"(2.825,2.85]",2.825,2.85,0.025,tmp,0.011963140593845989,0,0.005539688527240395
292,"(2.85,2.875]",2.85,2.875,0.025,tmp,0.011984695802123187,0,0.005561243735517594
293,"(2.875,2.9]",2.875,2.9,0.025,tmp,0.012534353613191787,0,0.005270248423775395
294,"(2.9,2.925]",2.9,2.925,0.025,tmp,0.013622891631190386,0,0.005766018214150994
295,"(2.925,2.95]",2.925,2.95,0.025,tmp,0.014851538502990785,0,0.0053564692568841945
