n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja
322,"(3.6,3.625]",3.6,3.625,0.025,tmp,0.002899175513283397,0,0.002920730721560597
323,"(3.625,3.65]",3.625,3.65,0.025,tmp,0.002015411973918198,0,0.002931508325699197
324,"(3.65,3.675]",3.65,3.675,0.025,tmp,0.0015304197876811986,0,0.002834509888451797
325,"(3.675,3.7]",3.675,3.7,0.025,tmp,0.0013040901007705986,0,0.0027159562429271973
326,"(3.7,3.725]",3.7,3.725,0.025,tmp,0.0012070916635231988,0,0.002920730721560597
327,"(3.725,3.75]",3.725,3.75,0.025,tmp,0.001013094789028399,0,0.002726733847065797
328,"(3.75,3.775]",3.75,3.775,0.025,tmp,9.26873955919599e-4,0,0.0024896265560165973
329,"(3.775,3.8]",3.775,3.8,0.025,tmp,9.69984372473999e-4,0,0.0027159562429271973
330,"(3.8,3.825]",3.8,3.825,0.025,tmp,6.897666648703993e-4,0,0.0023495177022147978
331,"(3.825,3.85]",3.825,3.85,0.025,tmp,7.544322897019992e-4,0,0.0026081802015411972
332,"(3.85,3.875]",3.85,3.875,0.025,tmp,6.251010400387994e-4,0,0.0024788489518779975
333,"(3.875,3.9]",3.875,3.9,0.025,tmp,8.190979145335992e-4,0,0.0022525192649673976
334,"(3.9,3.925]",3.9,3.925,0.025,tmp,6.251010400387994e-4,0,0.0022417416608287977
335,"(3.925,3.95]",3.925,3.95,0.025,tmp,7.220994772861993e-4,0,0.002284852077383198
336,"(3.95,3.975]",3.95,3.975,0.025,tmp,6.466562483159994e-4,0,0.0021339656194427977
337,"(3.975,4]",3.975,4,0.025,tmp,6.358786441773993e-4,0,0.002263296869105998
338,"(4,4.025]",4,4.025,0.025,tmp,6.789890607317993e-4,0,0.001983079161502398
339,"(4.025,4.05]",4.025,4.05,0.025,tmp,6.251010400387994e-4,0,0.0018753031201163982
340,"(4.05,4.075]",4.05,4.075,0.025,tmp,4.4188176968259954e-4,0,0.0018214150994233982
341,"(4.075,4.1]",4.075,4.1,0.025,tmp,6.251010400387994e-4,0,0.002069299994611198
342,"(4.1,4.125]",4.1,4.125,0.025,tmp,5.819906234843994e-4,0,0.002112410411165598
343,"(4.125,4.15]",4.125,4.15,0.025,tmp,6.251010400387994e-4,0,0.0019184135366707982
344,"(4.15,4.175]",4.15,4.175,0.025,tmp,5.927682276229994e-4,0,0.0017567494745917983
345,"(4.175,4.2]",4.175,4.2,0.025,tmp,5.388802069299994e-4,0,0.002015411973918198
346,"(4.2,4.225]",4.2,4.225,0.025,tmp,5.065473945141995e-4,0,0.0019076359325321981
347,"(4.225,4.25]",4.225,4.25,0.025,tmp,6.035458317615994e-4,0,0.0018753031201163982
348,"(4.25,4.275]",4.25,4.275,0.025,tmp,4.849921862369995e-4,0,0.001896858328393598
349,"(4.275,4.3]",4.275,4.3,0.025,tmp,5.496578110685995e-4,0,0.001896858328393598
350,"(4.3,4.325]",4.3,4.325,0.025,tmp,5.604354152071994e-4,0,0.0016274182249285984
351,"(4.325,4.35]",4.325,4.35,0.025,tmp,4.742145820983995e-4,0,0.0016920838497601982
352,"(4.35,4.375]",4.35,4.375,0.025,tmp,3.233281241579997e-4,0,0.0018214150994233982
353,"(4.375,4.4]",4.375,4.4,0.025,tmp,4.4188176968259954e-4,0,0.001886080724254998
354,"(4.4,4.425]",4.4,4.425,0.025,tmp,2.802177076035997e-4,0,0.001842970307700598
355,"(4.425,4.45]",4.425,4.45,0.025,tmp,3.987713531281996e-4,0,0.0018321927035619982
356,"(4.45,4.475]",4.45,4.475,0.025,tmp,3.125505200193997e-4,0,0.0014657541628495985
357,"(4.475,4.5]",4.475,4.5,0.025,tmp,2.155520827719998e-4,0,0.0018321927035619982
358,"(4.5,4.525]",4.5,4.525,0.025,tmp,2.802177076035997e-4,0,0.0018753031201163982
359,"(4.525,4.55]",4.525,4.55,0.025,tmp,2.3710729104919976e-4,0,0.0018106374952847981
360,"(4.55,4.575]",4.55,4.575,0.025,tmp,2.4788489518779973e-4,0,0.0016058630166513985
361,"(4.575,4.6]",4.575,4.6,0.025,tmp,1.7244166621759982e-4,0,0.0016705286414829983
362,"(4.6,4.625]",4.6,4.625,0.025,tmp,1.2933124966319986e-4,0,0.0014873093711267986
363,"(4.625,4.65]",4.625,4.65,0.025,tmp,1.7244166621759982e-4,0,0.0016058630166513985
364,"(4.65,4.675]",4.65,4.675,0.025,tmp,1.4010885380179986e-4,0,0.0016489734332057982
365,"(4.675,4.7]",4.675,4.7,0.025,tmp,1.832192703561998e-4,0,0.001853747911839198
366,"(4.7,4.725]",4.7,4.725,0.025,tmp,1.7244166621759982e-4,0,0.0017459718704531983
367,"(4.725,4.75]",4.725,4.75,0.025,tmp,1.2933124966319986e-4,0,0.0015843078083741984
368,"(4.75,4.775]",4.75,4.775,0.025,tmp,1.5088645794039985e-4,0,0.0017351942663145982
369,"(4.775,4.8]",4.775,4.8,0.025,tmp,9.69984372473999e-5,0,0.0019507463490865981
370,"(4.8,4.825]",4.8,4.825,0.025,tmp,4.3110416554399954e-5,0,0.0018645255159777982
371,"(4.825,4.85]",4.825,4.85,0.025,tmp,3.2332812415799966e-5,0,0.0015627526000969985
372,"(4.85,4.875]",4.85,4.875,0.025,tmp,5.388802069299995e-5,0,0.0017351942663145982
373,"(4.875,4.9]",4.875,4.9,0.025,tmp,4.3110416554399954e-5,0,0.0017244166621759984
374,"(4.9,4.925]",4.9,4.925,0.025,tmp,6.466562483159993e-5,0,0.0016274182249285984
375,"(4.925,4.95]",4.925,4.95,0.025,tmp,4.3110416554399954e-5,0,0.0014226437462951985
376,"(4.95,4.975]",4.95,4.975,0.025,tmp,4.3110416554399954e-5,0,0.0012933124966319988
377,"(4.975,5]",4.975,5,0.025,tmp,2.1555208277199977e-5,0,0.0013795333297407985
378,"(5,5.025]",5,5.025,0.025,tmp,3.2332812415799966e-5,0,0.0011747588511073989
379,"(5.025,5.05]",5.025,5.05,0.025,tmp,1.0777604138599989e-5,0,0.0012070916635231988
380,"(5.05,5.075]",5.05,5.075,0.025,tmp,2.1555208277199977e-5,0,0.0011532036428301988
381,"(5.075,5.1]",5.075,5.1,0.025,tmp,1.0777604138599989e-5,0,0.0011963140593845988
9,"(-4.225,-4.2]",-4.225,-4.2,0.025,tmp,0,1.0777604138599989e-5,4.3110416554399954e-5
10,"(-4.2,-4.175]",-4.2,-4.175,0.025,tmp,0,6.466562483159993e-5,5.388802069299995e-5
13,"(-4.125,-4.1]",-4.125,-4.1,0.025,tmp,0,2.694401034649997e-4,8.622083310879991e-5
17,"(-4.025,-4]",-4.025,-4,0.025,tmp,0,9.160963517809991e-4,8.622083310879991e-5
21,"(-3.925,-3.9]",-3.925,-3.9,0.025,tmp,0,5.281026027913995e-4,1.6166406207899985e-4
22,"(-3.9,-3.875]",-3.9,-3.875,0.025,tmp,0,5.388802069299995e-5,1.2933124966319986e-4
