n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
64,"(6.475,6.5]",6.475,6.5,0.025,ppt,0,0.013428894756695587,ppt_jja,jja
65,"(6.5,6.525]",6.5,6.525,0.025,ppt,0,0.002963841138114997,ppt_jja,jja
66,"(6.575,6.6]",6.575,6.6,0.025,ppt,0,0.013504337985665787,ppt_jja,jja
67,"(6.675,6.7]",6.675,6.7,0.025,ppt,0,0.009538179662660991,ppt_jja,jja
68,"(6.7,6.725]",6.7,6.725,0.025,ppt,0,0.0023279624939375977,ppt_jja,jja
69,"(6.775,6.8]",6.775,6.8,0.025,ppt,0,0.012545131217330387,ppt_jja,jja
70,"(6.875,6.9]",6.875,6.9,0.025,ppt,0,0.011629034865549389,ppt_jja,jja
71,"(6.975,7]",6.975,7,0.025,ppt,0,0.008600528102602792,ppt_jja,jja
72,"(7,7.025]",7,7.025,0.025,ppt,0,0.0038152718650643963,ppt_jja,jja
73,"(7.075,7.1]",7.075,7.1,0.025,ppt,0,0.011995473406261788,ppt_jja,jja
74,"(7.175,7.2]",7.175,7.2,0.025,ppt,0,0.009462736433690791,ppt_jja,jja
75,"(7.2,7.225]",7.2,7.225,0.025,ppt,0,0.0024896265560165973,ppt_jja,jja
76,"(7.275,7.3]",7.275,7.3,0.025,ppt,0,0.01075604893032279,ppt_jja,jja
77,"(7.375,7.4]",7.375,7.4,0.025,ppt,0,0.00996928382820499,ppt_jja,jja
78,"(7.475,7.5]",7.475,7.5,0.025,ppt,0,0.007307215605970792,ppt_jja,jja
79,"(7.5,7.525]",7.5,7.525,0.025,ppt,0,0.0026081802015411972,ppt_jja,jja
80,"(7.575,7.6]",7.575,7.6,0.025,ppt,0,0.00989384059923479,ppt_jja,jja
81,"(7.675,7.7]",7.675,7.7,0.025,ppt,0,0.008762192164681791,ppt_jja,jja
82,"(7.7,7.725]",7.7,7.725,0.025,ppt,0,0.0017351942663145982,ppt_jja,jja
83,"(7.775,7.8]",7.775,7.8,0.025,ppt,0,0.011478148407608989,ppt_jja,jja
84,"(7.875,7.9]",7.875,7.9,0.025,ppt,0,0.012124804655924987,ppt_jja,jja
85,"(7.975,8]",7.975,8,0.025,ppt,0,0.00973217653715579,ppt_jja,jja
86,"(8.075,8.1]",8.075,8.1,0.025,ppt,0,0.00944118122541359,ppt_jja,jja
87,"(8.175,8.2]",8.175,8.2,0.025,ppt,0,0.006175567171417794,ppt_jja,jja
88,"(8.2,8.225]",8.2,8.225,0.025,ppt,0,0.0012394244759389988,ppt_jja,jja
89,"(8.275,8.3]",8.275,8.3,0.025,ppt,0,0.007404214043218193,ppt_jja,jja
90,"(8.375,8.4]",8.375,8.4,0.025,ppt,0,0.007091663523198793,ppt_jja,jja
91,"(8.475,8.5]",8.475,8.5,0.025,ppt,0,0.0069299994611197934,ppt_jja,jja
92,"(8.575,8.6]",8.575,8.6,0.025,ppt,0,0.006714447378347793,ppt_jja,jja
93,"(8.675,8.7]",8.675,8.7,0.025,ppt,0,0.005302581236191195,ppt_jja,jja
94,"(8.7,8.725]",8.7,8.725,0.025,ppt,0,0.0011747588511073989,ppt_jja,jja
95,"(8.775,8.8]",8.775,8.8,0.025,ppt,0,0.0066174489411003935,ppt_jja,jja
96,"(8.875,8.9]",8.875,8.9,0.025,ppt,0,0.006994665085951393,ppt_jja,jja
97,"(8.975,9]",8.975,9,0.025,ppt,0,0.005841461443121194,ppt_jja,jja
98,"(9.075,9.1]",9.075,9.1,0.025,ppt,0,0.003987713531281996,ppt_jja,jja
99,"(9.1,9.125]",9.1,9.125,0.025,ppt,0,0.0014873093711267986,ppt_jja,jja
100,"(9.175,9.2]",9.175,9.2,0.025,ppt,0,0.005087029153419195,ppt_jja,jja
101,"(9.275,9.3]",9.275,9.3,0.025,ppt,0,0.004720590612706795,ppt_jja,jja
102,"(9.375,9.4]",9.375,9.4,0.025,ppt,0,0.005033141132726195,ppt_jja,jja
103,"(9.475,9.5]",9.475,9.5,0.025,ppt,0,0.005302581236191195,ppt_jja,jja
104,"(9.575,9.6]",9.575,9.6,0.025,ppt,0,0.0034811661367677967,ppt_jja,jja
105,"(9.6,9.625]",9.6,9.625,0.025,ppt,0,0.0016166406207899983,ppt_jja,jja
106,"(9.675,9.7]",9.675,9.7,0.025,ppt,0,0.005011585924448995,ppt_jja,jja
107,"(9.775,9.8]",9.775,9.8,0.025,ppt,0,0.004903809883062995,ppt_jja,jja
108,"(9.875,9.9]",9.875,9.9,0.025,ppt,0,0.005065473945141995,ppt_jja,jja
109,"(9.975,10]",9.975,10,0.025,ppt,0,0.005528910923101794,ppt_jja,jja
110,"(10.075,10.1]",10.075,10.1,0.025,ppt,0,0.002845287492590397,ppt_jja,jja
111,"(10.1,10.125]",10.1,10.125,0.025,ppt,0,0.0025219593684323973,ppt_jja,jja
112,"(10.175,10.2]",10.175,10.2,0.025,ppt,0,0.005345691652745595,ppt_jja,jja
113,"(10.275,10.3]",10.275,10.3,0.025,ppt,0,0.005151694778250795,ppt_jja,jja
114,"(10.375,10.4]",10.375,10.4,0.025,ppt,0,0.0056043541520719945,ppt_jja,jja
115,"(10.4,10.425]",10.4,10.425,0.025,ppt,0,2.155520827719998e-4,ppt_jja,jja
116,"(10.475,10.5]",10.475,10.5,0.025,ppt,0,0.0047313682168453955,ppt_jja,jja
117,"(10.5,10.525]",10.5,10.525,0.025,ppt,0,1.4010885380179986e-4,ppt_jja,jja
118,"(10.575,10.6]",10.575,10.6,0.025,ppt,0,0.004968475507894595,ppt_jja,jja
119,"(10.675,10.7]",10.675,10.7,0.025,ppt,0,0.005625909360349194,ppt_jja,jja
120,"(10.775,10.8]",10.775,10.8,0.025,ppt,0,0.004526593738211996,ppt_jja,jja
121,"(10.875,10.9]",10.875,10.9,0.025,ppt,0,0.0038152718650643963,ppt_jja,jja
122,"(10.9,10.925]",10.9,10.925,0.025,ppt,0,3.5566093657379963e-4,ppt_jja,jja
123,"(10.975,11]",10.975,11,0.025,ppt,0,0.004548148946489195,ppt_jja,jja
124,"(11,11.025]",11,11.025,0.025,ppt,0,5.388802069299995e-5,ppt_jja,jja
125,"(11.075,11.1]",11.075,11.1,0.025,ppt,0,0.005819906234843994,ppt_jja,jja
126,"(11.175,11.2]",11.175,11.2,0.025,ppt,0,0.006962332273535593,ppt_jja,jja
127,"(11.275,11.3]",11.275,11.3,0.025,ppt,0,0.006498895295575793,ppt_jja,jja
128,"(11.375,11.4]",11.375,11.4,0.025,ppt,0,0.007080885919060193,ppt_jja,jja
129,"(11.4,11.425]",11.4,11.425,0.025,ppt,0,3.772161448509996e-4,ppt_jja,jja
130,"(11.475,11.5]",11.475,11.5,0.025,ppt,0,0.007953871854286792,ppt_jja,jja
