n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
2097,"(382.8,382.825]",382.8,382.825,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2098,"(382.875,382.9]",382.875,382.9,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2099,"(382.975,383]",382.975,383,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2100,"(383,383.025]",383,383.025,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2101,"(383.075,383.1]",383.075,383.1,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2102,"(383.175,383.2]",383.175,383.2,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2103,"(383.275,383.3]",383.275,383.3,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2104,"(383.3,383.325]",383.3,383.325,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2105,"(383.375,383.4]",383.375,383.4,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2106,"(383.475,383.5]",383.475,383.5,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2107,"(383.5,383.525]",383.5,383.525,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2108,"(383.575,383.6]",383.575,383.6,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2109,"(383.675,383.7]",383.675,383.7,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2110,"(383.775,383.8]",383.775,383.8,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2111,"(383.8,383.825]",383.8,383.825,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2112,"(383.875,383.9]",383.875,383.9,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2113,"(383.975,384]",383.975,384,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2114,"(384,384.025]",384,384.025,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2115,"(384.075,384.1]",384.075,384.1,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2116,"(384.175,384.2]",384.175,384.2,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2117,"(384.275,384.3]",384.275,384.3,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2118,"(384.3,384.325]",384.3,384.325,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2119,"(384.375,384.4]",384.375,384.4,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2120,"(384.475,384.5]",384.475,384.5,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2121,"(384.5,384.525]",384.5,384.525,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
2122,"(384.575,384.6]",384.575,384.6,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2123,"(384.675,384.7]",384.675,384.7,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2124,"(384.775,384.8]",384.775,384.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2125,"(384.8,384.825]",384.8,384.825,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2126,"(384.875,384.9]",384.875,384.9,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2127,"(384.975,385]",384.975,385,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2128,"(385,385.025]",385,385.025,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2129,"(385.075,385.1]",385.075,385.1,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2130,"(385.175,385.2]",385.175,385.2,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2131,"(385.275,385.3]",385.275,385.3,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2132,"(385.3,385.325]",385.3,385.325,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2133,"(385.375,385.4]",385.375,385.4,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2134,"(385.475,385.5]",385.475,385.5,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2135,"(385.5,385.525]",385.5,385.525,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2136,"(385.575,385.6]",385.575,385.6,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2137,"(385.675,385.7]",385.675,385.7,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2138,"(385.775,385.8]",385.775,385.8,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2139,"(385.8,385.825]",385.8,385.825,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2140,"(385.875,385.9]",385.875,385.9,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2141,"(385.975,386]",385.975,386,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2142,"(386,386.025]",386,386.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2143,"(386.075,386.1]",386.075,386.1,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2144,"(386.175,386.2]",386.175,386.2,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2145,"(386.275,386.3]",386.275,386.3,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2146,"(386.3,386.325]",386.3,386.325,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2147,"(386.375,386.4]",386.375,386.4,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2148,"(386.475,386.5]",386.475,386.5,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2149,"(386.5,386.525]",386.5,386.525,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2150,"(386.575,386.6]",386.575,386.6,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2151,"(386.675,386.7]",386.675,386.7,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2152,"(386.775,386.8]",386.775,386.8,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2153,"(386.8,386.825]",386.8,386.825,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2154,"(386.875,386.9]",386.875,386.9,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2155,"(386.975,387]",386.975,387,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2156,"(387,387.025]",387,387.025,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2157,"(387.075,387.1]",387.075,387.1,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2158,"(387.175,387.2]",387.175,387.2,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2159,"(387.275,387.3]",387.275,387.3,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2160,"(387.3,387.325]",387.3,387.325,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2161,"(387.375,387.4]",387.375,387.4,0.025,ppt,2.2632968691059977e-4,0,ppt_djf,djf
2162,"(387.475,387.5]",387.475,387.5,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2163,"(387.5,387.525]",387.5,387.525,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2164,"(387.575,387.6]",387.575,387.6,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2165,"(387.675,387.7]",387.675,387.7,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2166,"(387.775,387.8]",387.775,387.8,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2167,"(387.8,387.825]",387.8,387.825,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2168,"(387.875,387.9]",387.875,387.9,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2169,"(387.975,388]",387.975,388,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2170,"(388,388.025]",388,388.025,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2171,"(388.075,388.1]",388.075,388.1,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2172,"(388.175,388.2]",388.175,388.2,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2173,"(388.275,388.3]",388.275,388.3,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2174,"(388.3,388.325]",388.3,388.325,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2175,"(388.375,388.4]",388.375,388.4,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2176,"(388.475,388.5]",388.475,388.5,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2177,"(388.5,388.525]",388.5,388.525,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2178,"(388.575,388.6]",388.575,388.6,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2179,"(388.675,388.7]",388.675,388.7,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2180,"(388.775,388.8]",388.775,388.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2181,"(388.8,388.825]",388.8,388.825,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2182,"(388.875,388.9]",388.875,388.9,0.025,ppt,3.125505200193997e-4,0,ppt_djf,djf
2183,"(388.975,389]",388.975,389,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2184,"(389,389.025]",389,389.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2185,"(389.075,389.1]",389.075,389.1,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2186,"(389.175,389.2]",389.175,389.2,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2187,"(389.275,389.3]",389.275,389.3,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2188,"(389.3,389.325]",389.3,389.325,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2189,"(389.375,389.4]",389.375,389.4,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2190,"(389.475,389.5]",389.475,389.5,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2191,"(389.5,389.525]",389.5,389.525,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2192,"(389.575,389.6]",389.575,389.6,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2193,"(389.675,389.7]",389.675,389.7,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2194,"(389.775,389.8]",389.775,389.8,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2195,"(389.8,389.825]",389.8,389.825,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2196,"(389.875,389.9]",389.875,389.9,0.025,ppt,2.2632968691059977e-4,0,ppt_djf,djf
2197,"(389.975,390]",389.975,390,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2198,"(390,390.025]",390,390.025,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2199,"(390.075,390.1]",390.075,390.1,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2200,"(390.175,390.2]",390.175,390.2,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2201,"(390.275,390.3]",390.275,390.3,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2202,"(390.3,390.325]",390.3,390.325,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2203,"(390.375,390.4]",390.375,390.4,0.025,ppt,2.4788489518779973e-4,0,ppt_djf,djf
2204,"(390.475,390.5]",390.475,390.5,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2205,"(390.5,390.525]",390.5,390.525,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2206,"(390.575,390.6]",390.575,390.6,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2207,"(390.675,390.7]",390.675,390.7,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2208,"(390.775,390.8]",390.775,390.8,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2209,"(390.8,390.825]",390.8,390.825,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2210,"(390.875,390.9]",390.875,390.9,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2211,"(390.975,391]",390.975,391,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2212,"(391,391.025]",391,391.025,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2213,"(391.075,391.1]",391.075,391.1,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2214,"(391.175,391.2]",391.175,391.2,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2215,"(391.275,391.3]",391.275,391.3,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2216,"(391.3,391.325]",391.3,391.325,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
2217,"(391.375,391.4]",391.375,391.4,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2218,"(391.475,391.5]",391.475,391.5,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2219,"(391.575,391.6]",391.575,391.6,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2220,"(391.675,391.7]",391.675,391.7,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2221,"(391.775,391.8]",391.775,391.8,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2222,"(391.8,391.825]",391.8,391.825,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2223,"(391.875,391.9]",391.875,391.9,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2224,"(391.975,392]",391.975,392,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2225,"(392,392.025]",392,392.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2226,"(392.075,392.1]",392.075,392.1,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2227,"(392.175,392.2]",392.175,392.2,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2228,"(392.275,392.3]",392.275,392.3,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2229,"(392.3,392.325]",392.3,392.325,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2230,"(392.375,392.4]",392.375,392.4,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2231,"(392.475,392.5]",392.475,392.5,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2232,"(392.5,392.525]",392.5,392.525,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2233,"(392.575,392.6]",392.575,392.6,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2234,"(392.675,392.7]",392.675,392.7,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2235,"(392.775,392.8]",392.775,392.8,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2236,"(392.8,392.825]",392.8,392.825,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2237,"(392.875,392.9]",392.875,392.9,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2238,"(392.975,393]",392.975,393,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2239,"(393.075,393.1]",393.075,393.1,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2240,"(393.175,393.2]",393.175,393.2,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2241,"(393.275,393.3]",393.275,393.3,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2242,"(393.3,393.325]",393.3,393.325,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2243,"(393.375,393.4]",393.375,393.4,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2244,"(393.475,393.5]",393.475,393.5,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2245,"(393.5,393.525]",393.5,393.525,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2246,"(393.575,393.6]",393.575,393.6,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2247,"(393.675,393.7]",393.675,393.7,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2248,"(393.775,393.8]",393.775,393.8,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2249,"(393.8,393.825]",393.8,393.825,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2250,"(393.875,393.9]",393.875,393.9,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2251,"(393.975,394]",393.975,394,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2252,"(394.075,394.1]",394.075,394.1,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2253,"(394.175,394.2]",394.175,394.2,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2254,"(394.275,394.3]",394.275,394.3,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2255,"(394.3,394.325]",394.3,394.325,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2256,"(394.375,394.4]",394.375,394.4,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2257,"(394.475,394.5]",394.475,394.5,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2258,"(394.575,394.6]",394.575,394.6,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2259,"(394.675,394.7]",394.675,394.7,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2260,"(394.775,394.8]",394.775,394.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2261,"(394.8,394.825]",394.8,394.825,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2262,"(394.875,394.9]",394.875,394.9,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2263,"(394.975,395]",394.975,395,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2264,"(395,395.025]",395,395.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2265,"(395.075,395.1]",395.075,395.1,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2266,"(395.175,395.2]",395.175,395.2,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2267,"(395.275,395.3]",395.275,395.3,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2268,"(395.3,395.325]",395.3,395.325,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2269,"(395.375,395.4]",395.375,395.4,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2270,"(395.475,395.5]",395.475,395.5,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2271,"(395.5,395.525]",395.5,395.525,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2272,"(395.575,395.6]",395.575,395.6,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2273,"(395.675,395.7]",395.675,395.7,0.025,ppt,9.69984372473999e-5,0,ppt_djf,djf
2274,"(395.775,395.8]",395.775,395.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2275,"(395.8,395.825]",395.8,395.825,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2276,"(395.875,395.9]",395.875,395.9,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2277,"(395.975,396]",395.975,396,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2278,"(396,396.025]",396,396.025,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2279,"(396.075,396.1]",396.075,396.1,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2280,"(396.175,396.2]",396.175,396.2,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2281,"(396.275,396.3]",396.275,396.3,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2282,"(396.3,396.325]",396.3,396.325,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2283,"(396.375,396.4]",396.375,396.4,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2284,"(396.475,396.5]",396.475,396.5,0.025,ppt,8.622083310879991e-5,0,ppt_djf,djf
2285,"(396.5,396.525]",396.5,396.525,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2286,"(396.575,396.6]",396.575,396.6,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2287,"(396.675,396.7]",396.675,396.7,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2288,"(396.775,396.8]",396.775,396.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2289,"(396.875,396.9]",396.875,396.9,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2290,"(396.975,397]",396.975,397,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2291,"(397,397.025]",397,397.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2292,"(397.075,397.1]",397.075,397.1,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2293,"(397.175,397.2]",397.175,397.2,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2294,"(397.275,397.3]",397.275,397.3,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2295,"(397.3,397.325]",397.3,397.325,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2296,"(397.375,397.4]",397.375,397.4,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2297,"(397.475,397.5]",397.475,397.5,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2298,"(397.575,397.6]",397.575,397.6,0.025,ppt,2.586624993263997e-4,0,ppt_djf,djf
2299,"(397.675,397.7]",397.675,397.7,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2300,"(397.775,397.8]",397.775,397.8,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2301,"(397.8,397.825]",397.8,397.825,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2302,"(397.875,397.9]",397.875,397.9,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2303,"(397.975,398]",397.975,398,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2304,"(398,398.025]",398,398.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2305,"(398.075,398.1]",398.075,398.1,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2306,"(398.175,398.2]",398.175,398.2,0.025,ppt,2.3710729104919976e-4,0,ppt_djf,djf
2307,"(398.275,398.3]",398.275,398.3,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2308,"(398.3,398.325]",398.3,398.325,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2309,"(398.375,398.4]",398.375,398.4,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2310,"(398.475,398.5]",398.475,398.5,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2311,"(398.5,398.525]",398.5,398.525,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2312,"(398.575,398.6]",398.575,398.6,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2313,"(398.675,398.7]",398.675,398.7,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2314,"(398.775,398.8]",398.775,398.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2315,"(398.8,398.825]",398.8,398.825,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2316,"(398.875,398.9]",398.875,398.9,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2317,"(398.975,399]",398.975,399,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2318,"(399,399.025]",399,399.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
2319,"(399.075,399.1]",399.075,399.1,0.025,ppt,2.694401034649997e-4,0,ppt_djf,djf
2320,"(399.175,399.2]",399.175,399.2,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2321,"(399.275,399.3]",399.275,399.3,0.025,ppt,1.4010885380179986e-4,0,ppt_djf,djf
2322,"(399.3,399.325]",399.3,399.325,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2323,"(399.375,399.4]",399.375,399.4,0.025,ppt,2.586624993263997e-4,0,ppt_djf,djf
2324,"(399.475,399.5]",399.475,399.5,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2325,"(399.5,399.525]",399.5,399.525,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2326,"(399.575,399.6]",399.575,399.6,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2327,"(399.675,399.7]",399.675,399.7,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2328,"(399.775,399.8]",399.775,399.8,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2329,"(399.8,399.825]",399.8,399.825,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2330,"(399.875,399.9]",399.875,399.9,0.025,ppt,2.155520827719998e-4,0,ppt_djf,djf
2331,"(399.975,400]",399.975,400,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2332,"(400,400.025]",400,400.025,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2333,"(400.075,400.1]",400.075,400.1,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2334,"(400.175,400.2]",400.175,400.2,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2335,"(400.275,400.3]",400.275,400.3,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2336,"(400.3,400.325]",400.3,400.325,0.025,ppt,7.544322897019993e-5,0,ppt_djf,djf
2337,"(400.375,400.4]",400.375,400.4,0.025,ppt,2.047744786333998e-4,0,ppt_djf,djf
2338,"(400.475,400.5]",400.475,400.5,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2339,"(400.5,400.525]",400.5,400.525,0.025,ppt,6.466562483159993e-5,0,ppt_djf,djf
2340,"(400.575,400.6]",400.575,400.6,0.025,ppt,2.909953117421997e-4,0,ppt_djf,djf
2341,"(400.675,400.7]",400.675,400.7,0.025,ppt,1.939968744947998e-4,0,ppt_djf,djf
2342,"(400.775,400.8]",400.775,400.8,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2343,"(400.8,400.825]",400.8,400.825,0.025,ppt,4.3110416554399954e-5,0,ppt_djf,djf
2344,"(400.875,400.9]",400.875,400.9,0.025,ppt,1.832192703561998e-4,0,ppt_djf,djf
2345,"(400.975,401]",400.975,401,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2346,"(401,401.025]",401,401.025,0.025,ppt,5.388802069299995e-5,0,ppt_djf,djf
2347,"(401.075,401.1]",401.075,401.1,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2348,"(401.175,401.2]",401.175,401.2,0.025,ppt,2.802177076035997e-4,0,ppt_djf,djf
2349,"(401.275,401.3]",401.275,401.3,0.025,ppt,2.2632968691059977e-4,0,ppt_djf,djf
2350,"(401.3,401.325]",401.3,401.325,0.025,ppt,1.0777604138599989e-5,0,ppt_djf,djf
2351,"(401.375,401.4]",401.375,401.4,0.025,ppt,1.7244166621759982e-4,0,ppt_djf,djf
2352,"(401.475,401.5]",401.475,401.5,0.025,ppt,1.5088645794039985e-4,0,ppt_djf,djf
2353,"(401.575,401.6]",401.575,401.6,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2354,"(401.675,401.7]",401.675,401.7,0.025,ppt,1.1855364552459988e-4,0,ppt_djf,djf
2355,"(401.775,401.8]",401.775,401.8,0.025,ppt,1.077760413859999e-4,0,ppt_djf,djf
2356,"(401.8,401.825]",401.8,401.825,0.025,ppt,2.1555208277199977e-5,0,ppt_djf,djf
2357,"(401.875,401.9]",401.875,401.9,0.025,ppt,1.6166406207899985e-4,0,ppt_djf,djf
2358,"(401.975,402]",401.975,402,0.025,ppt,1.2933124966319986e-4,0,ppt_djf,djf
2359,"(402,402.025]",402,402.025,0.025,ppt,3.2332812415799966e-5,0,ppt_djf,djf
