n_bin,bin,bin_from,bin_to,bin_size,variable,cwd_avg,variable_metric,metric
55,"(-1165.2,-1165.17]",-1165.2,-1165.17,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
56,"(-1165.12,-1165.1]",-1165.12,-1165.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
57,"(-1165.03,-1165]",-1165.03,-1165,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
58,"(-1164.92,-1164.9]",-1164.92,-1164.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
59,"(-1164.72,-1164.7]",-1164.72,-1164.7,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
60,"(-1164.7,-1164.67]",-1164.7,-1164.67,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
61,"(-1164.62,-1164.6]",-1164.62,-1164.6,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
62,"(-1164.53,-1164.5]",-1164.53,-1164.5,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
63,"(-1164.42,-1164.4]",-1164.42,-1164.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
64,"(-1164.33,-1164.3]",-1164.33,-1164.3,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
65,"(-1164.22,-1164.2]",-1164.22,-1164.2,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
66,"(-1164.12,-1164.1]",-1164.12,-1164.1,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
67,"(-1164.03,-1164]",-1164.03,-1164,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
68,"(-1163.92,-1163.9]",-1163.92,-1163.9,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
69,"(-1163.83,-1163.8]",-1163.83,-1163.8,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
70,"(-1163.72,-1163.7]",-1163.72,-1163.7,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
71,"(-1163.7,-1163.67]",-1163.7,-1163.67,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
72,"(-1163.62,-1163.6]",-1163.62,-1163.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
73,"(-1163.53,-1163.5]",-1163.53,-1163.5,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
74,"(-1163.42,-1163.4]",-1163.42,-1163.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
75,"(-1163.22,-1163.2]",-1163.22,-1163.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
76,"(-1163.2,-1163.17]",-1163.2,-1163.17,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
77,"(-1163.12,-1163.1]",-1163.12,-1163.1,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
78,"(-1163.03,-1163]",-1163.03,-1163,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
79,"(-1162.92,-1162.9]",-1162.92,-1162.9,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
80,"(-1162.83,-1162.8]",-1162.83,-1162.8,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
81,"(-1162.7,-1162.67]",-1162.7,-1162.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
82,"(-1162.62,-1162.6]",-1162.62,-1162.6,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
83,"(-1162.53,-1162.5]",-1162.53,-1162.5,0.025,cwd,7.544322897019993e-5,cwd_avg,avg
84,"(-1162.42,-1162.4]",-1162.42,-1162.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
85,"(-1162.33,-1162.3]",-1162.33,-1162.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
86,"(-1162.22,-1162.2]",-1162.22,-1162.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
87,"(-1162.2,-1162.17]",-1162.2,-1162.17,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
88,"(-1162.12,-1162.1]",-1162.12,-1162.1,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
89,"(-1162.03,-1162]",-1162.03,-1162,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
90,"(-1161.92,-1161.9]",-1161.92,-1161.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
91,"(-1161.62,-1161.6]",-1161.62,-1161.6,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
92,"(-1161.53,-1161.5]",-1161.53,-1161.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
93,"(-1161.42,-1161.4]",-1161.42,-1161.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
94,"(-1161.33,-1161.3]",-1161.33,-1161.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
95,"(-1161.2,-1161.17]",-1161.2,-1161.17,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
96,"(-1161.12,-1161.1]",-1161.12,-1161.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
97,"(-1160.92,-1160.9]",-1160.92,-1160.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
98,"(-1160.72,-1160.7]",-1160.72,-1160.7,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
