n_bin,bin,bin_from,bin_to,bin_size,variable,rnr_avg,variable_metric,metric
11513,"(153.7,153.73]",153.7,153.73,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11514,"(153.73,153.75]",153.73,153.75,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11515,"(153.75,153.78]",153.75,153.78,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11516,"(153.78,153.8]",153.78,153.8,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11517,"(153.8,153.83]",153.8,153.83,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11518,"(153.83,153.85]",153.83,153.85,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11519,"(153.85,153.88]",153.85,153.88,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11520,"(153.88,153.9]",153.88,153.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11521,"(153.9,153.93]",153.9,153.93,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11522,"(153.93,153.95]",153.93,153.95,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11523,"(153.95,153.98]",153.95,153.98,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11524,"(153.98,154]",153.98,154,0.025,rnr,8.622083310879991e-5,rnr_avg,avg
11525,"(154,154.03]",154,154.03,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11526,"(154.03,154.05]",154.03,154.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11527,"(154.05,154.08]",154.05,154.08,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11528,"(154.08,154.1]",154.08,154.1,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11529,"(154.1,154.12]",154.1,154.12,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11530,"(154.12,154.15]",154.12,154.15,0.025,rnr,1.077760413859999e-4,rnr_avg,avg
11531,"(154.18,154.2]",154.18,154.2,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11532,"(154.2,154.23]",154.2,154.23,0.025,rnr,8.622083310879991e-5,rnr_avg,avg
11533,"(154.23,154.25]",154.23,154.25,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11534,"(154.25,154.28]",154.25,154.28,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11535,"(154.28,154.3]",154.28,154.3,0.025,rnr,7.544322897019993e-5,rnr_avg,avg
11536,"(154.3,154.33]",154.3,154.33,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11537,"(154.33,154.35]",154.33,154.35,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11538,"(154.35,154.38]",154.35,154.38,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11539,"(154.38,154.4]",154.38,154.4,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11540,"(154.4,154.43]",154.4,154.43,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11541,"(154.43,154.45]",154.43,154.45,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11542,"(154.45,154.48]",154.45,154.48,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11543,"(154.48,154.5]",154.48,154.5,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11544,"(154.5,154.53]",154.5,154.53,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11545,"(154.53,154.55]",154.53,154.55,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11546,"(154.55,154.58]",154.55,154.58,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11547,"(154.58,154.6]",154.58,154.6,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11548,"(154.6,154.62]",154.6,154.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11549,"(154.62,154.65]",154.62,154.65,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11550,"(154.65,154.68]",154.65,154.68,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11551,"(154.68,154.7]",154.68,154.7,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11552,"(154.7,154.73]",154.7,154.73,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11553,"(154.73,154.75]",154.73,154.75,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11554,"(154.75,154.78]",154.75,154.78,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11555,"(154.78,154.8]",154.78,154.8,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11556,"(154.8,154.83]",154.8,154.83,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11557,"(154.83,154.85]",154.83,154.85,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11558,"(154.85,154.88]",154.85,154.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11559,"(154.88,154.9]",154.88,154.9,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11560,"(154.9,154.93]",154.9,154.93,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11561,"(154.93,154.95]",154.93,154.95,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11562,"(154.95,154.98]",154.95,154.98,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11563,"(154.98,155]",154.98,155,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11564,"(155,155.03]",155,155.03,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11565,"(155.03,155.05]",155.03,155.05,0.025,rnr,7.544322897019993e-5,rnr_avg,avg
11566,"(155.05,155.08]",155.05,155.08,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11567,"(155.08,155.1]",155.08,155.1,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11568,"(155.1,155.12]",155.1,155.12,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11569,"(155.12,155.15]",155.12,155.15,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11570,"(155.15,155.18]",155.15,155.18,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11571,"(155.18,155.2]",155.18,155.2,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11572,"(155.2,155.23]",155.2,155.23,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11573,"(155.23,155.25]",155.23,155.25,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11574,"(155.25,155.28]",155.25,155.28,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11575,"(155.28,155.3]",155.28,155.3,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11576,"(155.3,155.33]",155.3,155.33,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11577,"(155.33,155.35]",155.33,155.35,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11578,"(155.35,155.38]",155.35,155.38,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11579,"(155.4,155.43]",155.4,155.43,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11580,"(155.43,155.45]",155.43,155.45,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11581,"(155.45,155.48]",155.45,155.48,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11582,"(155.48,155.5]",155.48,155.5,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11583,"(155.5,155.53]",155.5,155.53,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11584,"(155.53,155.55]",155.53,155.55,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11585,"(155.55,155.58]",155.55,155.58,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11586,"(155.58,155.6]",155.58,155.6,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11587,"(155.6,155.62]",155.6,155.62,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11588,"(155.62,155.65]",155.62,155.65,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11589,"(155.65,155.68]",155.65,155.68,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11590,"(155.68,155.7]",155.68,155.7,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11591,"(155.7,155.73]",155.7,155.73,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11592,"(155.73,155.75]",155.73,155.75,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11593,"(155.75,155.78]",155.75,155.78,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11594,"(155.78,155.8]",155.78,155.8,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11595,"(155.8,155.83]",155.8,155.83,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11596,"(155.83,155.85]",155.83,155.85,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11597,"(155.85,155.88]",155.85,155.88,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11598,"(155.88,155.9]",155.88,155.9,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11599,"(155.9,155.93]",155.9,155.93,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11600,"(155.93,155.95]",155.93,155.95,0.025,rnr,8.622083310879991e-5,rnr_avg,avg
11601,"(155.95,155.98]",155.95,155.98,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11602,"(155.98,156]",155.98,156,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11603,"(156,156.03]",156,156.03,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11604,"(156.03,156.05]",156.03,156.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11605,"(156.05,156.08]",156.05,156.08,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11606,"(156.08,156.1]",156.08,156.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11607,"(156.1,156.12]",156.1,156.12,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11608,"(156.12,156.15]",156.12,156.15,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11609,"(156.15,156.18]",156.15,156.18,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11610,"(156.2,156.23]",156.2,156.23,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11611,"(156.23,156.25]",156.23,156.25,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11612,"(156.25,156.28]",156.25,156.28,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11613,"(156.28,156.3]",156.28,156.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11614,"(156.3,156.33]",156.3,156.33,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11615,"(156.33,156.35]",156.33,156.35,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11616,"(156.35,156.38]",156.35,156.38,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11617,"(156.38,156.4]",156.38,156.4,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11618,"(156.4,156.43]",156.4,156.43,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11619,"(156.43,156.45]",156.43,156.45,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11620,"(156.45,156.48]",156.45,156.48,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11621,"(156.5,156.53]",156.5,156.53,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11622,"(156.53,156.55]",156.53,156.55,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11623,"(156.55,156.58]",156.55,156.58,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11624,"(156.58,156.6]",156.58,156.6,0.025,rnr,7.544322897019993e-5,rnr_avg,avg
11625,"(156.6,156.62]",156.6,156.62,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11626,"(156.62,156.65]",156.62,156.65,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11627,"(156.65,156.68]",156.65,156.68,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11628,"(156.7,156.73]",156.7,156.73,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11629,"(156.73,156.75]",156.73,156.75,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11630,"(156.75,156.78]",156.75,156.78,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11631,"(156.78,156.8]",156.78,156.8,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11632,"(156.8,156.83]",156.8,156.83,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11633,"(156.83,156.85]",156.83,156.85,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11634,"(156.85,156.88]",156.85,156.88,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11635,"(156.88,156.9]",156.88,156.9,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11636,"(156.9,156.93]",156.9,156.93,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11637,"(156.93,156.95]",156.93,156.95,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11638,"(156.95,156.98]",156.95,156.98,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11639,"(156.98,157]",156.98,157,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11640,"(157,157.03]",157,157.03,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11641,"(157.03,157.05]",157.03,157.05,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11642,"(157.05,157.08]",157.05,157.08,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11643,"(157.08,157.1]",157.08,157.1,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11644,"(157.1,157.12]",157.1,157.12,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11645,"(157.12,157.15]",157.12,157.15,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11646,"(157.15,157.18]",157.15,157.18,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11647,"(157.18,157.2]",157.18,157.2,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11648,"(157.2,157.23]",157.2,157.23,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11649,"(157.23,157.25]",157.23,157.25,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11650,"(157.25,157.28]",157.25,157.28,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11651,"(157.28,157.3]",157.28,157.3,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11652,"(157.3,157.33]",157.3,157.33,0.025,rnr,9.69984372473999e-5,rnr_avg,avg
11653,"(157.33,157.35]",157.33,157.35,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11654,"(157.35,157.38]",157.35,157.38,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11655,"(157.38,157.4]",157.38,157.4,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11656,"(157.4,157.43]",157.4,157.43,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11657,"(157.43,157.45]",157.43,157.45,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11658,"(157.45,157.48]",157.45,157.48,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
11659,"(157.48,157.5]",157.48,157.5,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
11660,"(157.5,157.53]",157.5,157.53,0.025,rnr,4.3110416554399954e-5,rnr_avg,avg
11661,"(157.53,157.55]",157.53,157.55,0.025,rnr,5.388802069299995e-5,rnr_avg,avg
11662,"(157.55,157.58]",157.55,157.58,0.025,rnr,6.466562483159993e-5,rnr_avg,avg
11663,"(157.58,157.6]",157.58,157.6,0.025,rnr,3.2332812415799966e-5,rnr_avg,avg
