n_bin,bin,bin_from,bin_to,bin_size,variable,rnr_avg,variable_metric,metric
1,"(-783.92,-783.9]",-783.92,-783.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
2,"(-763.02,-763]",-763.02,-763,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
3,"(-723.62,-723.6]",-723.62,-723.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
4,"(-679.42,-679.4]",-679.42,-679.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
5,"(-654.02,-654]",-654.02,-654,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
6,"(-623.83,-623.8]",-623.83,-623.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
7,"(-612.23,-612.2]",-612.23,-612.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
8,"(-609.23,-609.2]",-609.23,-609.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
9,"(-607.52,-607.5]",-607.52,-607.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
10,"(-602.92,-602.9]",-602.92,-602.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11,"(-570.33,-570.3]",-570.33,-570.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
12,"(-566.02,-566]",-566.02,-566,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
13,"(-557.83,-557.8]",-557.83,-557.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
14,"(-555.73,-555.7]",-555.73,-555.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
15,"(-547.83,-547.8]",-547.83,-547.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
16,"(-545.33,-545.3]",-545.33,-545.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
17,"(-540.73,-540.7]",-540.73,-540.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
18,"(-527.12,-527.1]",-527.12,-527.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
19,"(-526.12,-526.1]",-526.12,-526.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
20,"(-522.22,-522.2]",-522.22,-522.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
21,"(-521.62,-521.6]",-521.62,-521.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
22,"(-521.33,-521.3]",-521.33,-521.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
23,"(-509.82,-509.8]",-509.82,-509.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
24,"(-508.32,-508.3]",-508.32,-508.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
25,"(-490.75,-490.72]",-490.75,-490.72,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
26,"(-467.22,-467.2]",-467.22,-467.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
27,"(-458.92,-458.9]",-458.92,-458.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
28,"(-456.55,-456.52]",-456.55,-456.52,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
29,"(-455.7,-455.67]",-455.7,-455.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
30,"(-454.92,-454.9]",-454.92,-454.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
31,"(-450.9,-450.88]",-450.9,-450.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
32,"(-442.32,-442.3]",-442.32,-442.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
33,"(-440.82,-440.8]",-440.82,-440.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
34,"(-439.62,-439.6]",-439.62,-439.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
35,"(-439.1,-439.07]",-439.1,-439.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
36,"(-435.82,-435.8]",-435.82,-435.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
37,"(-432.92,-432.9]",-432.92,-432.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
38,"(-432.47,-432.45]",-432.47,-432.45,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
39,"(-430.12,-430.1]",-430.12,-430.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
40,"(-415.97,-415.95]",-415.97,-415.95,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
41,"(-413.57,-413.55]",-413.57,-413.55,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
42,"(-412.82,-412.8]",-412.82,-412.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
43,"(-408.5,-408.47]",-408.5,-408.47,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
44,"(-407.22,-407.2]",-407.22,-407.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
45,"(-405.32,-405.3]",-405.32,-405.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
46,"(-401.42,-401.4]",-401.42,-401.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
47,"(-401.07,-401.05]",-401.07,-401.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
48,"(-397.65,-397.62]",-397.65,-397.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
49,"(-397.32,-397.3]",-397.32,-397.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
50,"(-396.4,-396.38]",-396.4,-396.38,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
51,"(-394.32,-394.3]",-394.32,-394.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
52,"(-393.02,-393]",-393.02,-393,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
53,"(-388.52,-388.5]",-388.52,-388.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
54,"(-387.55,-387.52]",-387.55,-387.52,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
55,"(-387.52,-387.5]",-387.52,-387.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
56,"(-386.92,-386.9]",-386.92,-386.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
57,"(-386.35,-386.32]",-386.35,-386.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
58,"(-385.72,-385.7]",-385.72,-385.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
59,"(-385.05,-385.02]",-385.05,-385.02,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
60,"(-380.12,-380.1]",-380.12,-380.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
61,"(-378.72,-378.7]",-378.72,-378.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
62,"(-377.02,-377]",-377.02,-377,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
63,"(-376.72,-376.7]",-376.72,-376.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
64,"(-376.22,-376.2]",-376.22,-376.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
65,"(-375.32,-375.3]",-375.32,-375.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
66,"(-373.52,-373.5]",-373.52,-373.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
67,"(-371.2,-371.17]",-371.2,-371.17,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
68,"(-369.75,-369.72]",-369.75,-369.72,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
69,"(-367.9,-367.88]",-367.9,-367.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
70,"(-367.72,-367.7]",-367.72,-367.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
71,"(-367.52,-367.5]",-367.52,-367.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
72,"(-363.7,-363.67]",-363.7,-363.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
73,"(-362.92,-362.9]",-362.92,-362.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
74,"(-362.3,-362.27]",-362.3,-362.27,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
75,"(-361.72,-361.7]",-361.72,-361.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
76,"(-361.02,-361]",-361.02,-361,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
77,"(-359.95,-359.92]",-359.95,-359.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
78,"(-359.42,-359.4]",-359.42,-359.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
79,"(-358.2,-358.17]",-358.2,-358.17,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
80,"(-354.02,-354]",-354.02,-354,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
81,"(-353.92,-353.9]",-353.92,-353.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
82,"(-352.6,-352.57]",-352.6,-352.57,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
83,"(-352.15,-352.12]",-352.15,-352.12,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
84,"(-351.62,-351.6]",-351.62,-351.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
85,"(-349.32,-349.3]",-349.32,-349.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
86,"(-348.95,-348.92]",-348.95,-348.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
87,"(-347.12,-347.1]",-347.12,-347.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
88,"(-345.92,-345.9]",-345.92,-345.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
89,"(-345.72,-345.7]",-345.72,-345.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
90,"(-344.47,-344.45]",-344.47,-344.45,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
91,"(-343.82,-343.8]",-343.82,-343.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
92,"(-343.22,-343.2]",-343.22,-343.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
93,"(-343,-342.97]",-343,-342.97,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
94,"(-340.02,-340]",-340.02,-340,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
95,"(-338.85,-338.82]",-338.85,-338.82,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
96,"(-336.6,-336.57]",-336.6,-336.57,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
97,"(-333.95,-333.92]",-333.95,-333.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
98,"(-333.32,-333.3]",-333.32,-333.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
99,"(-332.67,-332.65]",-332.67,-332.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
100,"(-332.6,-332.57]",-332.6,-332.57,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
101,"(-331.85,-331.82]",-331.85,-331.82,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
102,"(-331.82,-331.8]",-331.82,-331.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
103,"(-331.67,-331.65]",-331.67,-331.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
104,"(-331.55,-331.52]",-331.55,-331.52,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
105,"(-330.72,-330.7]",-330.72,-330.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
106,"(-330.67,-330.65]",-330.67,-330.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
107,"(-330.27,-330.25]",-330.27,-330.25,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
108,"(-330.12,-330.1]",-330.12,-330.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
109,"(-329.22,-329.2]",-329.22,-329.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
110,"(-328.67,-328.65]",-328.67,-328.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
111,"(-328,-327.97]",-328,-327.97,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
112,"(-327.5,-327.47]",-327.5,-327.47,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
113,"(-326.67,-326.65]",-326.67,-326.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
114,"(-326.25,-326.22]",-326.25,-326.22,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
115,"(-325.82,-325.8]",-325.82,-325.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
116,"(-325.2,-325.17]",-325.2,-325.17,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
117,"(-324.82,-324.8]",-324.82,-324.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
118,"(-323.4,-323.38]",-323.4,-323.38,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
119,"(-321.17,-321.15]",-321.17,-321.15,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
120,"(-320.1,-320.07]",-320.1,-320.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
121,"(-319.22,-319.2]",-319.22,-319.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
122,"(-316.02,-316]",-316.02,-316,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
123,"(-315.95,-315.92]",-315.95,-315.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
124,"(-315.35,-315.32]",-315.35,-315.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
125,"(-315.02,-315]",-315.02,-315,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
126,"(-314.95,-314.92]",-314.95,-314.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
127,"(-314.7,-314.67]",-314.7,-314.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
128,"(-314.35,-314.32]",-314.35,-314.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
129,"(-314.27,-314.25]",-314.27,-314.25,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
130,"(-312.47,-312.45]",-312.47,-312.45,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
131,"(-312.15,-312.12]",-312.15,-312.12,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
132,"(-312.07,-312.05]",-312.07,-312.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
133,"(-311.92,-311.9]",-311.92,-311.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
134,"(-310.72,-310.7]",-310.72,-310.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
135,"(-308.02,-308]",-308.02,-308,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
136,"(-307.95,-307.92]",-307.95,-307.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
137,"(-304.62,-304.6]",-304.62,-304.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
138,"(-304.25,-304.22]",-304.25,-304.22,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
139,"(-304.05,-304.02]",-304.05,-304.02,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
140,"(-303.72,-303.7]",-303.72,-303.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
141,"(-303.27,-303.25]",-303.27,-303.25,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
142,"(-303.12,-303.1]",-303.12,-303.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
143,"(-300.47,-300.45]",-300.47,-300.45,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
144,"(-300.38,-300.35]",-300.38,-300.35,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
145,"(-298.4,-298.38]",-298.4,-298.38,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
146,"(-298.1,-298.07]",-298.1,-298.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
147,"(-297.88,-297.85]",-297.88,-297.85,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
148,"(-297.72,-297.7]",-297.72,-297.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
149,"(-297.52,-297.5]",-297.52,-297.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
150,"(-297.35,-297.32]",-297.35,-297.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
151,"(-296.45,-296.42]",-296.45,-296.42,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
152,"(-296.42,-296.4]",-296.42,-296.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
153,"(-296.27,-296.25]",-296.27,-296.25,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
154,"(-296.25,-296.22]",-296.25,-296.22,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
155,"(-295.32,-295.3]",-295.32,-295.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
156,"(-294.62,-294.6]",-294.62,-294.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
157,"(-293.65,-293.62]",-293.65,-293.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
158,"(-292.1,-292.07]",-292.1,-292.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
159,"(-291.9,-291.88]",-291.9,-291.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
160,"(-291.12,-291.1]",-291.12,-291.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
161,"(-288.65,-288.62]",-288.65,-288.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
162,"(-287.6,-287.57]",-287.6,-287.57,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
163,"(-286.65,-286.62]",-286.65,-286.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
164,"(-286.32,-286.3]",-286.32,-286.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
165,"(-286.22,-286.2]",-286.22,-286.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
166,"(-286.05,-286.02]",-286.05,-286.02,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
167,"(-282.95,-282.92]",-282.95,-282.92,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
168,"(-282.82,-282.8]",-282.82,-282.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
169,"(-281.02,-281]",-281.02,-281,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
170,"(-280.92,-280.9]",-280.92,-280.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
171,"(-279.15,-279.12]",-279.15,-279.12,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
172,"(-278.97,-278.95]",-278.97,-278.95,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
173,"(-278.3,-278.27]",-278.3,-278.27,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
174,"(-277.2,-277.17]",-277.2,-277.17,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
175,"(-275.95,-275.92]",-275.95,-275.92,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
176,"(-275.1,-275.07]",-275.1,-275.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
177,"(-273.7,-273.67]",-273.7,-273.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
178,"(-271.77,-271.75]",-271.77,-271.75,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
179,"(-271.48,-271.45]",-271.48,-271.45,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
180,"(-271.23,-271.2]",-271.23,-271.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
181,"(-270.8,-270.77]",-270.8,-270.77,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
182,"(-270.52,-270.5]",-270.52,-270.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
183,"(-270.42,-270.4]",-270.42,-270.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
184,"(-268.45,-268.42]",-268.45,-268.42,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
185,"(-267.17,-267.15]",-267.17,-267.15,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
186,"(-266.38,-266.35]",-266.38,-266.35,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
187,"(-266.23,-266.2]",-266.23,-266.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
188,"(-265.8,-265.77]",-265.8,-265.77,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
189,"(-265.23,-265.2]",-265.23,-265.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
190,"(-262.4,-262.38]",-262.4,-262.38,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
191,"(-261.32,-261.3]",-261.32,-261.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
192,"(-260.35,-260.32]",-260.35,-260.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
193,"(-260.17,-260.15]",-260.17,-260.15,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
194,"(-257.73,-257.7]",-257.73,-257.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
195,"(-257.2,-257.17]",-257.2,-257.17,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
196,"(-257.12,-257.1]",-257.12,-257.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
197,"(-257.07,-257.05]",-257.07,-257.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
198,"(-256.65,-256.62]",-256.65,-256.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
199,"(-255.75,-255.73]",-255.75,-255.73,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
200,"(-255.23,-255.2]",-255.23,-255.2,0.025,rnr,2.1555208277199977e-5,rnr_avg,avg
201,"(-254.32,-254.3]",-254.32,-254.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
202,"(-253.92,-253.9]",-253.92,-253.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
203,"(-253.88,-253.85]",-253.88,-253.85,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
204,"(-252.82,-252.8]",-252.82,-252.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
205,"(-252.65,-252.62]",-252.65,-252.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
206,"(-252.62,-252.6]",-252.62,-252.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
207,"(-251.35,-251.32]",-251.35,-251.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
208,"(-251.15,-251.12]",-251.15,-251.12,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
209,"(-250.52,-250.5]",-250.52,-250.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
210,"(-250.35,-250.32]",-250.35,-250.32,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
211,"(-249.98,-249.95]",-249.98,-249.95,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
212,"(-249.92,-249.9]",-249.92,-249.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
213,"(-249.75,-249.73]",-249.75,-249.73,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
214,"(-249.57,-249.55]",-249.57,-249.55,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
215,"(-249.32,-249.3]",-249.32,-249.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
216,"(-248.02,-248]",-248.02,-248,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
217,"(-247.45,-247.42]",-247.45,-247.42,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
218,"(-247.07,-247.05]",-247.07,-247.05,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
219,"(-246.6,-246.57]",-246.6,-246.57,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
220,"(-246.12,-246.1]",-246.12,-246.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
221,"(-245.65,-245.62]",-245.65,-245.62,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
222,"(-245.42,-245.4]",-245.42,-245.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
223,"(-244.92,-244.9]",-244.92,-244.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
224,"(-244.32,-244.3]",-244.32,-244.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
225,"(-243.38,-243.35]",-243.38,-243.35,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
226,"(-242.92,-242.9]",-242.92,-242.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
227,"(-241.9,-241.88]",-241.9,-241.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
228,"(-239.92,-239.9]",-239.92,-239.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
229,"(-239.75,-239.73]",-239.75,-239.73,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
230,"(-239.42,-239.4]",-239.42,-239.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
231,"(-238.42,-238.4]",-238.42,-238.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
232,"(-237.9,-237.88]",-237.9,-237.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
233,"(-237.67,-237.65]",-237.67,-237.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
234,"(-236.85,-236.82]",-236.85,-236.82,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
235,"(-236.7,-236.67]",-236.7,-236.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
236,"(-236.6,-236.57]",-236.6,-236.57,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
237,"(-235.67,-235.65]",-235.67,-235.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
238,"(-235.3,-235.27]",-235.3,-235.27,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
239,"(-235.25,-235.23]",-235.25,-235.23,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
240,"(-235.1,-235.07]",-235.1,-235.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
241,"(-234.2,-234.17]",-234.2,-234.17,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
242,"(-233.8,-233.77]",-233.8,-233.77,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
243,"(-233.67,-233.65]",-233.67,-233.65,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
244,"(-233.12,-233.1]",-233.12,-233.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
245,"(-231.57,-231.55]",-231.57,-231.55,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
246,"(-228.7,-228.67]",-228.7,-228.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
247,"(-228.55,-228.52]",-228.55,-228.52,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
248,"(-227.73,-227.7]",-227.73,-227.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
249,"(-227.15,-227.12]",-227.15,-227.12,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
250,"(-227.02,-227]",-227.02,-227,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
251,"(-226.73,-226.7]",-226.73,-226.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
252,"(-225.82,-225.8]",-225.82,-225.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
253,"(-225.62,-225.6]",-225.62,-225.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
254,"(-224.62,-224.6]",-224.62,-224.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
