n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja,variable_metric,metric
310,"(3.3,3.325]",3.3,3.325,0.025,tmp,0.004580481758904995,0,0.004677480196152395,tmp_jja,jja
158,"(3.325,3.35]",3.325,3.35,0.025,tmp,0.0042032656140539955,0,0.0045912593630435955,tmp_avg,avg
311,"(3.325,3.35]",3.325,3.35,0.025,tmp,0.0042032656140539955,0,0.0045912593630435955,tmp_jja,jja
159,"(3.35,3.375]",3.35,3.375,0.025,tmp,0.0038691598857573963,0,0.0035781645740151965,tmp_avg,avg
312,"(3.35,3.375]",3.35,3.375,0.025,tmp,0.0038691598857573963,0,0.0035781645740151965,tmp_jja,jja
160,"(3.375,3.4]",3.375,3.4,0.025,tmp,0.0037506062402327964,0,0.004181710405776796,tmp_avg,avg
313,"(3.375,3.4]",3.375,3.4,0.025,tmp,0.0037506062402327964,0,0.004181710405776796,tmp_jja,jja
161,"(3.4,3.425]",3.4,3.425,0.025,tmp,0.0031470604084711967,0,0.0036967182195397964,tmp_avg,avg
314,"(3.4,3.425]",3.4,3.425,0.025,tmp,0.0031470604084711967,0,0.0036967182195397964,tmp_jja,jja
162,"(3.425,3.45]",3.425,3.45,0.025,tmp,0.0035673869698765962,0,0.0036104973864309964,tmp_avg,avg
315,"(3.425,3.45]",3.425,3.45,0.025,tmp,0.0035673869698765962,0,0.0036104973864309964,tmp_jja,jja
163,"(3.45,3.475]",3.45,3.475,0.025,tmp,0.0035566093657379964,0,0.0034380557202133965,tmp_avg,avg
316,"(3.45,3.475]",3.45,3.475,0.025,tmp,0.0035566093657379964,0,0.0034380557202133965,tmp_jja,jja
164,"(3.475,3.5]",3.475,3.5,0.025,tmp,0.0034488333243519968,0,0.003211726033302797,tmp_avg,avg
317,"(3.475,3.5]",3.475,3.5,0.025,tmp,0.0034488333243519968,0,0.003211726033302797,tmp_jja,jja
165,"(3.5,3.525]",3.5,3.525,0.025,tmp,0.002845287492590397,0,0.0032009484291641967,tmp_avg,avg
318,"(3.5,3.525]",3.5,3.525,0.025,tmp,0.002845287492590397,0,0.0032009484291641967,tmp_jja,jja
166,"(3.525,3.55]",3.525,3.55,0.025,tmp,0.003039284367085197,0,0.0029422859298377972,tmp_avg,avg
319,"(3.525,3.55]",3.525,3.55,0.025,tmp,0.003039284367085197,0,0.0029422859298377972,tmp_jja,jja
167,"(3.55,3.575]",3.55,3.575,0.025,tmp,0.003060839575362397,0,0.0028237322843131974,tmp_avg,avg
320,"(3.55,3.575]",3.55,3.575,0.025,tmp,0.003060839575362397,0,0.0028237322843131974,tmp_jja,jja
168,"(3.575,3.6]",3.575,3.6,0.025,tmp,0.002996173950530797,0,0.0028237322843131974,tmp_avg,avg
321,"(3.575,3.6]",3.575,3.6,0.025,tmp,0.002996173950530797,0,0.0028237322843131974,tmp_jja,jja
169,"(3.6,3.625]",3.6,3.625,0.025,tmp,0.002899175513283397,0,0.002920730721560597,tmp_avg,avg
322,"(3.6,3.625]",3.6,3.625,0.025,tmp,0.002899175513283397,0,0.002920730721560597,tmp_jja,jja
170,"(3.625,3.65]",3.625,3.65,0.025,tmp,0.002015411973918198,0,0.002931508325699197,tmp_avg,avg
